Year1,Year2,Artist,Position1,Position2,Plays1,Plays2
2013,2015,Radiohead,1,2,2,654
2015,2016,Ratatat,1,3,679,1108
2015,2016,Radiohead,2,2,654,1842
2015,2016,Passion Pit,3,7,598,967
2015,2016,Modest Mouse,4,4,554,1095
2015,2016,The Shins,5,5,537,1030
2015,2016,Cage The Elephant,6,9,436,738
2015,2016,Bright Eyes,8,8,407,749
2015,2016,alt-J,9,10,389,721
2016,2017,The Strokes,1,2,2739,1643
2016,2017,Radiohead,2,1,1842,1959
2016,2017,Ratatat,3,4,1108,1118
2016,2017,Modest Mouse,4,3,1095,1257
2016,2017,The Shins,5,7,1030,784
2016,2017,Death Cab for Cutie,6,5,1023,855
2016,2017,Passion Pit,7,6,967,815
2016,2017,Bright Eyes,8,10,749,644
2017,2018,Radiohead,1,1,1959,1086
2017,2018,The Strokes,2,3,1643,652
2017,2018,Modest Mouse,3,2,1257,676
2017,2018,Ratatat,4,4,1118,547
2017,2018,Death Cab for Cutie,5,7,855,403
2017,2018,Passion Pit,6,8,815,402
2017,2018,The Shins,7,9,784,371
2017,2018,The Beatles,8,6,753,437
2017,2018,Alex G,9,10,735,332
2018,2019,Radiohead,1,1,1086,1319
2018,2019,Modest Mouse,2,2,676,668
2018,2019,The Strokes,3,3,652,647
2018,2019,Ratatat,4,6,547,471
2018,2019,Young Thug,5,5,443,500
2018,2019,The Beatles,6,7,437,448
2018,2019,Passion Pit,8,9,402,366
2018,2019,Alex G,10,4,332,601
2019,2020,Radiohead,1,1,1319,1083
2019,2020,Modest Mouse,2,3,668,469
2019,2020,The Strokes,3,2,647,643
2019,2020,Alex G,4,4,601,346
2019,2020,Young Thug,5,6,500,322
2020,2021,Radiohead,1,1,1083,950
2020,2021,The Strokes,2,3,643,497
2020,2021,Modest Mouse,3,4,469,450
2021,2022,Radiohead,1,1,950,646
2021,2022,The Strokes,3,6,497,332
2021,2022,Modest Mouse,4,7,450,303
2021,2022,Jank,6,8,368,282
2021,2022,Pinegrove,8,5,342,396
2022,2023,Radiohead,1,4,646,717
2022,2023,Origami Angel,2,7,628,347
2022,2023,Pinegrove,5,6,396,400
2023,2024,Hot Mulligan,1,5,1093,280
2023,2024,Joyce Manor,2,4,894,309
2023,2024,Title Fight,3,1,854,691
2023,2024,Radiohead,4,2,717,553
2023,2024,Pinegrove,6,10,400,193
2024,2025,Radiohead,2,1,553,28
2024,2025,The Strokes,3,2,336,18
2024,2025,Modest Mouse,6,7,277,12
2024,2025,Ratatat,9,6,207,13
2024,2025,Pinegrove,10,4,193,17
